⚛️  央视IPV6,#genre#
CCTV怀旧剧场,http://218.17.216.102:9901/tsfile/live/1069_1.m3u8
CCTV风云剧场,http://218.17.216.102:9901/tsfile/live/1070_1.m3u8
CCTV央视台球,http://218.17.216.102:9901/tsfile/live/1066_1.m3u8
CCTV央视文化,http://218.17.216.102:9901/tsfile/live/1071_1.m3u8
CCTV第一剧场,http://218.17.216.102:9901/tsfile/live/1072_1.m3u8
CCTV风云音乐,http://218.17.216.102:9901/tsfile/live/1073_1.m3u8
CCTV世界地理,http://218.17.216.102:9901/tsfile/live/1068_1.m3u8
CETV1,http://txycsbl.centv.cn/zb/0628cetv1.m3u8
CETV2,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV3,http://txycsbl.centv.cn/zb/0822cetv3.m3u8
CETV4,http://txycsbl.centv.cn/zb/0822cetv4.m3u8
每日影院,http://beifeng.site:4000/udp/239.3.1.111:8001
幸福剧场,http://beifeng.site:4000/udp/239.3.1.112:8001
幸福娱乐,http://beifeng.site:4000/udp/239.3.1.113:8001

杂杂-频道,#genre#
CETV-1,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=CETV-1H264_4000
CETV-4,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=CETV-4H264_2000
CBN风尚生活,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=fssh_4000
CBN每日影院,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=mryy_4000
CBN幸福剧场,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=xfjc_4000
CBN幸福娱乐,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=xfyl_4000
CHC动作电影,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=wqCHCdzdyH265_4000
CHC高清电影,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jbtygqCHCjtyyH265_4000
动漫秀场,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=yybb-dmxc-H265_4000
都市剧场,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=yxfydsjcHDH265_4000
法治天地,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=fztx_4000
极速汽车,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jsqcH265_4000
纪实科教,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=bjjs_2000
嘉佳卡通,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jjkt_2000
家庭理财,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jtlc_4000
江苏财富天下,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=cftx_4000
金鹰纪实,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jyjsHDH265_4000
金鹰卡通,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jykt_2000
劲爆体育,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=lqhxjcHDH265_4000
聚鲨环球精选,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jshqjxHD_4000
卡酷少儿,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=kkkt_4000
快乐垂钓,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=fyzqklcdHDH265_4000
乐游,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=qjs-HDH265_4000
梨园频道,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=ly_4000
七彩戏剧,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=qcxj_2000
摄影频道,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=sy_4000
生活时尚,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=shssH265_4000
四海钓鱼,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=shdy_4000
天元围棋,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=tywq_2000
武术世界,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=wssj_4000
先锋乒羽,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=xfpy_4000
新视觉,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=ycxsjH265_4000
证劵服务,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=jz_2000
中国天气,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/sxg.php?id=zgqx_4000

央视-频道,#genre#
CCTV-1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV-3,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV-4,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV-5,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV-5+,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV-7,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV-8,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV-9,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV-10,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV-11,http://125.210.152.19:9120/live/hzgq-cctv11gq-h264.m3u8
CCTV-12,http://125.210.152.19:9120/live/hzgq-cctv12gq-h264.m3u8
CCTV-13,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV-14,http://125.210.152.19:9120/live/hzgq-cctvsegq-h264.m3u8
CCTV-15,http://125.210.152.19:9120/live/hzgq-cctvmusicgq-h264.m3u8
CCTV-16,http://125.210.152.19:9120/live/hzgq-cctv16gq-h264.m3u8
CCTV-17,http://125.210.152.19:9120/live/hzgq-cctv17gq-h264.m3u8
CCTV-1,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV-5,http://222.71.90.218:8888/newlive/live/hls/6/live.m3u8
CCTV-6,http://222.71.90.218:8888/newlive/live/hls/7/live.m3u8
CCTV-10,http://222.71.90.218:8888/newlive/live/hls/11/live.m3u8
CCTV-14,http://222.71.90.218:8888/newlive/live/hls/15/live.m3u8
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV-13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV-14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8?
CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-4,http://jycb.f3322.net:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://jycb.f3322.net:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0

卫视-频道,#genre#
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://125.210.152.19:9120/live/hzgq-zjwsgq-h264.m3u8
湖南卫视,http://125.210.152.19:9120/live/hzgq-hnwsgq-h264.m3u8
江苏卫视,http://125.210.152.19:9120/live/hzgq-jswsgq-h264.m3u8
北京卫视,http://125.210.152.19:9120/live/hzgq-bjgqws-h264.m3u8
东方卫视,http://125.210.152.19:9120/live/hzgq-dftvgq-h264.m3u8
广东卫视,http://125.210.152.19:9120/live/hzgq-gdwsgq-h264.m3u8
河南卫视,http://125.210.152.19:9120/live/hzgq-henanwsgq-h264.m3u8
河北卫视,http://125.210.152.19:9120/live/hzgq-hbwsgq1-h264.m3u8
安徽卫视,http://125.210.152.19:9120/live/hzgq-ahwsgq-h264.m3u8
湖北卫视,http://125.210.152.19:9120/live/hzgq-hbwsgq-h264.m3u8
江西卫视,http://125.210.152.19:9120/live/hzgq-jxwsgq-h264.m3u8
山东卫视,http://125.210.152.19:9120/live/hzgq-sdwsgq-h264.m3u8
深圳卫视,http://125.210.152.19:9120/live/hzgq-szwsgq-h264.m3u8
天津卫视,http://125.210.152.19:9120/live/hzgq-tjwsgq-h264.m3u8
云南卫视,http://125.210.152.19:9120/live/hzgq-ynwsgq-h264.m3u8
重庆卫视,http://125.210.152.19:9120/live/hzgq-cqwsgq-h264.m3u8
吉林卫视,http://125.210.152.19:9120/live/hzgq-jlwsgq-h264.m3u8
黑龙江卫视,http://125.210.152.19:9120/live/hzgq-hljwsgq-h264.m3u8
辽宁卫视,http://125.210.152.19:9120/live/hzgq-lnwsgq-h264.m3u8
北京卡酷少儿,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
CGTN,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225745/index.m3u8
深圳卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8
湖北卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
天津卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
海南卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
重庆卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8
贵州卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
北京卫视,http://222.71.90.218:8888/newlive/live/hls/18/live.m3u8
东方卫视,http://222.71.90.218:8888/newlive/live/hls/19/live.m3u8
浙江卫视,http://222.71.90.218:8888/newlive/live/hls/20/live.m3u8
江苏卫视,http://222.71.90.218:8888/newlive/live/hls/21/live.m3u8
湖南卫视,http://222.71.90.218:8888/newlive/live/hls/22/live.m3u8
广东卫视,http://222.71.90.218:8888/newlive/live/hls/23/live.m3u8
深圳卫视,http://222.71.90.218:8888/newlive/live/hls/24/live.m3u8
黑龙江卫视,http://222.71.90.218:8888/newlive/live/hls/25/live.m3u8
山东卫视,http://222.71.90.218:8888/newlive/live/hls/26/live.m3u8
湖北卫视,http://222.71.90.218:8888/newlive/live/hls/27/live.m3u8
安徽卫视,http://222.71.90.218:8888/newlive/live/hls/28/live.m3u8
东南卫视,http://222.71.90.218:8888/newlive/live/hls/29/live.m3u8
江西卫视,http://222.71.90.218:8888/newlive/live/hls/30/live.m3u8
辽宁卫视,http://222.71.90.218:8888/newlive/live/hls/31/live.m3u8
天津卫视,http://222.71.90.218:8888/newlive/live/hls/32/live.m3u8
云南卫视,http://222.71.90.218:8888/newlive/live/hls/39/live.m3u8
广西卫视,http://222.71.90.218:8888/newlive/live/hls/40/live.m3u8
吉林卫视,http://222.71.90.218:8888/newlive/live/hls/41/live.m3u8
宁夏卫视,http://222.71.90.218:8888/newlive/live/hls/42/live.m3u8
青海卫视,http://222.71.90.218:8888/newlive/live/hls/43/live.m3u8
西藏卫视,http://222.71.90.218:8888/newlive/live/hls/44/live.m3u8
陕西卫视,http://222.71.90.218:8888/newlive/live/hls/45/live.m3u8
内蒙古卫视,http://222.71.90.218:8888/newlive/live/hls/46/live.m3u8
新疆卫视,http://222.71.90.218:8888/newlive/live/hls/47/live.m3u8

NEWTV-频道,#genre#

少儿-频道,#genre#
南京少儿[1280*720],http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
浙江少儿[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
14台少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225784/1.m3u8?zyangd
14台少儿,http://123.6.9.146/live/jz-cctv-14/live.m3u8?zyangd
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?zzhed
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/720p.m3u8?zzhed
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/360p.m3u8?zzhed
南京少儿,http://live.nbs.cn/channels/njtv/sepd/500k.m3u8?zjiangsd
甘肃少儿,http://39.134.32.102:6610/270000001111/1110000327/index.m3u8?IASHttpSessionId=OTT
大连少儿,rtmp://secret.dltv.cn/dreamStreamCore/q6tZ6Ba/lv500?p?zliaond
韩国EBS少儿童,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd

影集-频道,#genre#
电影_星爷,http://mmitv.top/pltv/huya.php?id=11342412
电影_英叔,http://mmitv.top/pltv/huya.php?id=11342421
电影_发哥,http://mmitv.top/pltv/huya.php?id=11342387
电影_成龙,http://mmitv.top/pltv/huya.php?id=11342386
电影_王晶,http://mmitv.top/pltv/huya.php?id=11602058
电影_沈腾,http://mmitv.top/pltv/huya.php?id=11601968
电影_黄渤,http://mmitv.top/pltv/huya.php?id=11352876
电影_强森,http://mmitv.top/pltv/huya.php?id=21059581
电影_漫威,http://mmitv.top/pltv/huya.php?id=11602034
电影_宇宙,http://mmitv.top/pltv/huya.php?id=11342428
电影_怪兽,http://mmitv.top/pltv/huya.php?id=21059577
电影_武侠,http://mmitv.top/pltv/huya.php?id=11342427
电影_警匪,http://mmitv.top/pltv/huya.php?id=11352886
电影_罪犯,http://mmitv.top/pltv/huya.php?id=11352962
电影_枪战,http://mmitv.top/pltv/huya.php?id=21059579
电影_海盗,http://mmitv.top/pltv/huya.php?id=21059595
电影_赛车,http://mmitv.top/pltv/huya.php?id=11279247
电影_推荐,http://mmitv.top/pltv/huya.php?id=11602041
电影_救援,http://mmitv.top/pltv/huya.php?id=21059594
电影_热血,http://mmitv.top/pltv/huya.php?id=11352934
电影_盗墓,http://mmitv.top/pltv/huya.php?id=21059552
电影_贺岁,http://mmitv.top/pltv/huya.php?id=11601971
电影_玄幻,http://mmitv.top/pltv/huya.php?id=11342414
电影_谍战,http://mmitv.top/pltv/huya.php?id=21059585
电影_战争,http://mmitv.top/pltv/huya.php?id=21059592
电影_喜剧,http://mmitv.top/pltv/huya.php?id=11352877
电影_港片,http://mmitv.top/pltv/huya.php?id=11602043
电影_国产,http://mmitv.top/pltv/huya.php?id=11352973
电影_周星星,http://mmitv.top/pltv/huya.php?id=11336587
电影_李连杰,http://mmitv.top/pltv/huya.php?id=11342390
电影_洪金宝,http://mmitv.top/pltv/huya.php?id=11279251
电影_梁家辉,http://mmitv.top/pltv/huya.php?id=11342429
电影_许冠英,http://mmitv.top/pltv/huya.php?id=11601972
电影_刘德华,http://mmitv.top/pltv/huya.php?id=11342424
电影_斯坦森,http://mmitv.top/pltv/huya.php?id=21059588
电影_小鬼头,http://mmitv.top/pltv/huya.php?id=11352963
电影_八点档,http://mmitv.top/pltv/huya.php?id=880261
电影_蜘蛛侠,http://mmitv.top/pltv/huya.php?id=21059599
电影_贺岁片,http://mmitv.top/pltv/huya.php?id=11601986
电影_功夫片,http://mmitv.top/pltv/huya.php?id=11352941
电影_黑帮片,http://mmitv.top/pltv/huya.php?id=11336719
电影_丧尸片,http://mmitv.top/pltv/huya.php?id=21059578
电影_灾难片,http://mmitv.top/pltv/huya.php?id=11602075
电影_谍战片,http://mmitv.top/pltv/huya.php?id=21059587
电影_战争片,http://mmitv.top/pltv/huya.php?id=21059574
电影_犯罪片,http://mmitv.top/pltv/huya.php?id=11352974
电影_古装片,http://mmitv.top/pltv/huya.php?id=11336590
电影_高分动作,http://mmitv.top/pltv/huya.php?id=11352884
电影_动作电影,http://mmitv.top/pltv/huya.php?id=11602077
电影_搞笑喜剧,http://mmitv.top/pltv/huya.php?id=11342423
电影_喜剧专场,http://mmitv.top/pltv/huya.php?id=11602044
电影_欢笑影院,http://mmitv.top/pltv/huya.php?id=11352894
电影_不挤影院,http://mmitv.top/pltv/huya.php?id=11352897
电影_国产悬疑,http://mmitv.top/pltv/huya.php?id=11342395
电影_快意江湖,http://mmitv.top/pltv/huya.php?id=11342435
电影_黑帮斗争,http://mmitv.top/pltv/huya.php?id=11342419
电影_古墓系列,http://mmitv.top/pltv/huya.php?id=11352913
电影_嫣然影厅,http://mmitv.top/pltv/huya.php?id=11601977
电影_女神系列,http://mmitv.top/pltv/huya.php?id=11336571
电影_经典女神,http://mmitv.top/pltv/huya.php?id=11352909
电影_许氏三杰,http://mmitv.top/pltv/huya.php?id=11602033
电影_经典港片,http://mmitv.top/pltv/huya.php?id=11352965
电影_镖行天下,http://mmitv.top/pltv/huya.php?id=11352969
电影_高能反转,http://mmitv.top/pltv/huya.php?id=11352887
电影_喜乐影院,http://mmitv.top/pltv/huya.php?id=21059580
电影_蘑菇影厅,http://mmitv.top/pltv/huya.php?id=11601981
电影_搞笑恐怖,http://mmitv.top/pltv/huya.php?id=11601960
电影_死神来了,http://mmitv.top/pltv/huya.php?id=11352903
电影_变形金刚,http://mmitv.top/pltv/huya.php?id=21059596
电影_怪兽系列,http://mmitv.top/pltv/huya.php?id=21059554

老片-频道,#genre#
地雷战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/a90c788a458e40508615d711b8aae1af/850.m3u8
地道战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/312e39c68cc441feb79d1c2d7e16cbbd/850.m3u8
跟踪追击,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/059096230b4e46c0b5d4929ff98435d0/850.m3u8
红牡丹,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/921b8081b58b4c2f81fb233b6c8e89ac/850.m3u8
侦察兵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/3e4727a0fca34aa8b9774472a4908eaf/850.m3u8
三毛流浪记,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b9ce94c233b043bebe30340f09868ed1/850.m3u8
红色娘子军,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2ea3b03b3a414303b830f92579243001/850.m3u8
五朵金花,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ae639196cf3949368c1b05776bb1d4fa/850.m3u8
洪湖赤卫队,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2a58afdece3342eaac927648a2cccabd/850.m3u8
狼牙山五壮士,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/71c649af833c43a9b61e4f5c913bbd6b/850.m3u8
战上海,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/e84b188d1bf7484fb4907d99827cbd45/850.m3u8
铁道游击队,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/46d8664dacad4dbb9c790256688048dc/850.m3u8
红孩子,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/bf55b84744d64eeaaedc5ea603855597/850.m3u8
宝葫芦的秘密,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/866474add7224067877bed430d9380ab/850.m3u8
董存瑞,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b657281ba44a4b279f55ec860c12543b/850.m3u8
地下尖兵,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/188d5706e5774f06850e06e4f181c4bd/850.m3u8
三毛从军记,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/919a08437d44499b87b7b4903f2b2ae6/850.m3u8
小兵张嘎,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/d8c05f3ca36d48e6b1997b523e885c5c/850.m3u8
闪闪的红星,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/b90fcf1a5425479baf3a045282a1f263/850.m3u8
祖国的花朵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ef10a9a9b1534fe38fd4fdfdac1ed493/850.m3u8
花儿朵朵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/53a44d8649024b58b69f4468b922b8f0/850.m3u8
上甘岭,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c91f7aae9b8b4c578a7d9ecdf94b9dca/850.m3u8
