	
🔨点播测试,#genre#
可能 程响,https://vd2.bdstatic.com/mda-pda3hb7a15jba8v6/sc/cae_h264/1681188155834662487/mda-pda3hb7a15jba8v6.mp4?v_from_s=bdapp-landingpage-api-nanjing
可能 程响,https://dghls.mcloud.139.com/hls/LNf7fe91bc41492763ef368d045b02f351/playlist.m3u8?ci=1811UaL6m35715520230407094155hv3&fileSize=61739461
一半疯了一半算了,https://dghls.mcloud.139.com/hls/LMb7541204d2ec9fdd32dd3b4c1a8ff07e/playlist.m3u8?ci=1811UaL6m357154202304070919508cv&fileSize=26567217
人生的道场,https://dghls.mcloud.139.com/hls/L5722088f6d101a3ccbcd0eaa3248c4b30/playlist.m3u8?ci=1811UaL6m35717820230407085612bm9&fileSize=60198542
女生版太想念,https://dghls.mcloud.139.com/hls/LR52c5f31b851d9da7cf4b1981077e7faf/playlist.m3u8?ci=1811UaL6m35715420230321113802rlt&fileSize=24311894
小石头不修,https://vd3.bdstatic.com/mda-pcefwsv47cztwjtz/sc/cae_h264/1678883601786113207/mda-pcefwsv47cztwjtz.mp4?v_from_s=bdapp-bdappcore-feed-nanjing
小石头不修,https://dghls.mcloud.139.com/hls/LR8b0b824c6dc07bfcee813859dcfc8c61/playlist.m3u8?ci=1811UaL6m35715520230321113813fme&fileSize=90749280
我是你的格桑花,https://dghls.mcloud.139.com/hls/L4ae417c1025621270c7b7cf55e12f0777/playlist.m3u8?ci=1811UaL6m35715420230321152443wlj&fileSize=34841110
雅妍 A-YEON,https://dghls.mcloud.139.com/hls/L5aabc49c76a38182731d759391cb60b57/playlist.m3u8?ci=1811UaL6m357156202303211548058ix&fileSize=160023374
漂洋过海来看你,https://dghls.mcloud.139.com/hls/L5d56fffacaa0aa6e3c5c2e05ee625f340/playlist.m3u8?ci=1811UaL6m35715720230321154756igs&fileSize=14726298
笑看风云,https://dghls.mcloud.139.com/hls/LJc57c42129e77d707b6c4ba8fe702c62f/playlist.m3u8?ci=1811UaL6m35717820230327125134lyi&fileSize=60572850
上海滩,https://dghls.mcloud.139.com/hls/L5552341d05bebc2c1f810616829cc5acd/playlist.m3u8?ci=1811UaL6m357158202303211549375lu&fileSize=6668932
轻抚你的脸,https://dghls.mcloud.139.com/hls/L4dab28689cfa00002a6502e26a04e728c/playlist.m3u8?ci=1811UaL6m357158202303211539301gf&fileSize=35048411
汤晶锦合辑,https://dghls.mcloud.139.com/hls/LL8408ba1f8aa11d043c1101cb44966912/playlist.m3u8?ci=1811UaL6m35717720230321164420g55&fileSize=71079755
破碎的梦,https://dghls.mcloud.139.com/hls/LN6ce2a00d79e44072c319c7769586fe22/playlist.m3u8?ci=1811UaL6m35715420230321165439y55&fileSize=28847286
破碎的梦2,https://vd4.bdstatic.com/mda-patezah01pysjsvc/sc/cae_h264/1674902920158655678/mda-patezah01pysjsvc.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1679716634-0-0-a5eeb2a45ed793a207ee8de1cdf8027a&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=1634428167&vid=5762670214480928705&abtest=107354_2-107353_1&klogid=1634428167
姬和不如,https://dghls.mcloud.139.com/hls/L216f076f4374ca5f644cd34ca8591dd45/playlist.m3u8?ci=1811UaL6m35715720230322210643gen&fileSize=206666220
阿珍爱上了阿强,https://dghls.mcloud.139.com/hls/L8c2ab26dddece0238ef036d0f289f5130/playlist.m3u8?ci=1811UaL6m357158202303231422118wy&fileSize=64875517
阿珍爱上了阿强1,https://vd2.bdstatic.com/mda-pcebermu2xk1hfzz/sc/cae_h264/1678868392588788785/mda-pcebermu2xk1hfzz.mp4?v_from_s=bdapp-landingpage-api-nanjing
阿珍爱上了阿强2,https://vd4.bdstatic.com/mda-pcicstwi8cr2jh6x/sc/cae_h264/1679242204052011472/mda-pcicstwi8cr2jh6x.mp4?v_from_s=bdapp-landingpage-api-nanjing
LIVE民谣,https://vd4.bdstatic.com/mda-pbnajxcz6raambr0/sc/cae_h264/1677137814219814459/mda-pbnajxcz6raambr0.mp4?v_from_s=bdapp-landingpage-api-nanjing


🎈高清频道,#genre#

高清中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
MTV,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226582/index.m3u8
欢笑剧场4K,http://111.20.40.160/PLTV/88888893/224/3221226582/index.m3u8
南国4K,https://justsometime.gztv.com/sec/shenghuos.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
爱自然4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Clarity4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
Fashion4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
loupe4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8

咪咕体育-4K-SDR源,http://120.234.220.107:9000/udp/239.20.0.66:3136
VTC13 4K,http://vcdn1.vtc.gov.vn:1935/m_4k/smil:4k.smil/playlist.m3u8?$3840x2160
ULTRA NATURE TV 4K,http://185.236.229.31:9981/play/a01d
Bloomberg TV+ 4K,https://bloomberg-bloombergtv-1-gb.samsung.wurl.com/manifest/playlist.m3u8
斗鱼4K,http://epg.112114.xyz/douyu/9249162
CCTV5-高清,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?

纯享4K,	http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw4259108076_496521789/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8?icpid=3&RTS=1658389916&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
欢笑剧场4K,	http://[2409:8087:2001:20:2800:0:df6e:eb1a]/wh7f454c46tw1868232_1764604972/ott.mobaibox.com/PLTV/3/224/3221227715/index.m3u8?icpid=3&RTS=1661190272&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3

🐠斗鱼精选,#genre#
	
老阿西NUSIC,http://epg.112114.xyz/douyu/9494997
音乐FANS小琼,http://epg.112114.xyz/douyu/8666210
MISIC郑在看,http://epg.112114.xyz/douyu/8666143
音乐Wu哥,http://epg.112114.xyz/douyu/8667755
下饭音乐,http://epg.112114.xyz/douyu/8661966
音乐快斗,http://epg.112114.xyz/douyu/8324627
荒原音乐,http://epg.112114.xyz/douyu/8706465
音乐猛抬头,http://epg.112114.xyz/douyu/8666105
黑糖音乐秀,http://epg.112114.xyz/douyu/9560563
蚕豆电台,http://epg.112114.xyz/douyu/8768792
喵喵音乐台,http://epg.112114.xyz/douyu/9568091
荒草音乐,http://epg.112114.xyz/douyu/8706465
小田音乐,http://epg.112114.xyz/douyu/9787387
秋月剪水,http://epg.112114.xyz/douyu/9588891

华语点歌台,http://epg.112114.xyz/douyu/3186217
听杰伦的歌,http://epg.112114.xyz/douyu/7537296
皮阿鸡Piag,http://epg.112114.xyz/douyu/9548612
粤语歌姬,http://epg.112114.xyz/douyu/4728410
二次元吉他,http://epg.112114.xyz/douyu/9477141
尤克里里,http://epg.112114.xyz/douyu/9648074
放松音乐,http://epg.112114.xyz/douyu/9262938

梗妹英语,http://epg.112114.xyz/douyu/9562049
	
女神金陪看,http://epg.112114.xyz/douyu/747764
斗鱼粤语电影,http://epg.112114.xyz/douyu/6566671
斗鱼-邦德影院,http://epg.112114.xyz/douyu/9292499
斗鱼-战警科幻,http://epg.112114.xyz/douyu/9651304
斗鱼-鱼小丸梓,http://epg.112114.xyz/douyu/6140589
斗鱼-特辑影院,http://epg.112114.xyz/douyu/3637778
斗鱼-宇哥电影,http://epg.112114.xyz/douyu/413573
	
斗鱼-军旅动作,http://epg.112114.xyz/douyu/431460
斗鱼-萌牛奶,http://epg.112114.xyz/douyu/7494871
斗鱼-爱情公寓,http://epg.112114.xyz/douyu/6863367
斗鱼-港剧直播,http://epg.112114.xyz/douyu/4549169
斗鱼-粤语电影,http://epg.112114.xyz/douyu/1226741
斗鱼-港电影院,http://epg.112114.xyz/douyu/9826611
斗鱼-瑶瑶,http://epg.112114.xyz/douyu/2935323
斗鱼-晚晚Vivi,http://epg.112114.xyz/douyu/8861179
斗鱼-蒲蚂蚱,http://epg.112114.xyz/douyu/6079455
斗鱼-??小U??,http://epg.112114.xyz/douyu/96577
斗鱼-??冰冰??,http://epg.112114.xyz/douyu/74374
斗鱼-小鸽陪看,http://epg.112114.xyz/douyu/3928
斗鱼-清晰林正英,http://epg.112114.xyz/douyu/7356023
	
斗鱼-网神影厅,http://epg.112114.xyz/douyu/508118
斗鱼-米娅陪看,http://epg.112114.xyz/douyu/6537888
斗鱼-麓山迷踪,http://epg.112114.xyz/douyu/4505431
斗鱼-小小亭长,http://epg.112114.xyz/douyu/5802446
斗鱼-恐怖电影,http://epg.112114.xyz/douyu/9275635
斗鱼-??凌儿??,http://epg.112114.xyz/douyu/1377142
斗鱼-林正英,http://epg.112114.xyz/douyu/218859
斗鱼-胡八一,http://epg.112114.xyz/douyu/7701735
斗鱼-科幻灾难,http://epg.112114.xyz/douyu/248753
斗鱼-历史 军事,http://epg.112114.xyz/douyu/4870914
斗鱼-华语影院2,http://epg.112114.xyz/douyu/434971
斗鱼-邵氏影院2,http://epg.112114.xyz/douyu/4246519
斗鱼-豆瓣电影,http://epg.112114.xyz/douyu/8770422
斗鱼-恐怖电影2,http://epg.112114.xyz/douyu/263824
斗鱼-恐怖电影3,http://epg.112114.xyz/douyu/310926
斗鱼-科幻电影2,http://epg.112114.xyz/douyu/8107217
斗鱼-可乐电影,http://epg.112114.xyz/douyu/20415
斗鱼-林林电影,http://epg.112114.xyz/douyu/9652323
斗鱼-小宇电影,http://epg.112114.xyz/douyu/323876
斗鱼-国产影片,http://epg.112114.xyz/douyu/5423
斗鱼-高帧影片,http://epg.112114.xyz/douyu/6763930
斗鱼-译制影片,http://epg.112114.xyz/douyu/2436390
斗鱼-神乐影片1,http://epg.112114.xyz/douyu/122402
斗鱼-神乐影片2,http://epg.112114.xyz/douyu/85894
斗鱼-欧美大片2,http://epg.112114.xyz/douyu/2793084
斗鱼-经典恐怖,http://epg.112114.xyz/douyu/1165374

粤语综艺,http://epg.112114.xyz/douyu/7919720
华语经典,http://epg.112114.xyz/douyu/434971
吃米滴虫,http://epg.112114.xyz/douyu/315457
神乐影片1,http://epg.112114.xyz/douyu/122402
神乐影片2,http://epg.112114.xyz/douyu/85894
特辑影院,http://epg.112114.xyz/douyu/3637778
漫威影片,http://epg.112114.xyz/douyu/6140589
周星驰电影,http://epg.112114.xyz/douyu/3990812
刘德华电影2,http://epg.112114.xyz/douyu/8985415
喜剧经典,http://epg.112114.xyz/douyu/9650887
豆瓣高分,http://epg.112114.xyz/douyu/8770422
林正英电影1,http://epg.112114.xyz/douyu/218859
林正英电影2,http://epg.112114.xyz/douyu/7356023
女神金电影,http://epg.112114.xyz/douyu/747764
贝爷影厅2,http://epg.112114.xyz/douyu/36337
可乐电影,http://epg.112114.xyz/douyu/20415
冰冰经典电影,http://epg.112114.xyz/douyu/74374
奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
奶瓶科幻片,http://epg.112114.xyz/douyu/6655271
避风港影院,http://epg.112114.xyz/douyu/9826611
林林影院,http://epg.112114.xyz/douyu/9652323
恐怖经典,http://epg.112114.xyz/douyu/1165374
变种人电影,http://epg.112114.xyz/douyu/9651304
华语电影,http://epg.112114.xyz/douyu/3928
华语动作电影,http://epg.112114.xyz/douyu/1504768
怀旧90,http://epg.112114.xyz/douyu/9275635
国产影片,http://epg.112114.xyz/douyu/5423
麓山迷踪,http://epg.112114.xyz/douyu/4505431
高帧影片,http://epg.112114.xyz/douyu/6763930
米娅电影,http://epg.112114.xyz/douyu/6537888
小九电影,http://epg.112114.xyz/douyu/7136517
连续剧1,http://epg.112114.xyz/douyu/4549169
连续剧2,http://epg.112114.xyz/douyu/7623292
连续剧3,http://epg.112114.xyz/douyu/5689514
连续剧4,http://epg.112114.xyz/douyu/7476264
连续剧5,http://epg.112114.xyz/douyu/4396972
游戏解说,http://epg.112114.xyz/douyu/805235
斗鱼小品,http://epg.112114.xyz/douyu/3980787
斗鱼探险,http://epg.112114.xyz/douyu/3485629
斗鱼动画,http://epg.112114.xyz/douyu/7528160
斗鱼电影1,http://epg.112114.xyz/douyu/2935323
斗鱼电影2,http://epg.112114.xyz/douyu/7459925
斗鱼电影3,http://epg.112114.xyz/douyu/431460
斗鱼电影4,http://epg.112114.xyz/douyu/4246519
斗鱼电影5,http://epg.112114.xyz/douyu/7116591
斗鱼电影6,http://epg.112114.xyz/douyu/6776615
斗鱼电影7,http://epg.112114.xyz/douyu/7655471
斗鱼电影8,http://epg.112114.xyz/douyu/4290711
斗鱼电影9,http://epg.112114.xyz/douyu/6566671
斗鱼电影10,http://epg.112114.xyz/douyu/8475821
斗鱼电影11,http://epg.112114.xyz/douyu/338759
斗鱼电影12,http://epg.112114.xyz/douyu/2793084
斗鱼电影13,http://epg.112114.xyz/douyu/5067952
斗鱼电影14,http://epg.112114.xyz/douyu/413573
斗鱼电影15,http://epg.112114.xyz/douyu/5033502
斗鱼电影16,http://epg.112114.xyz/douyu/426517
斗鱼电影17,http://epg.112114.xyz/douyu/1274132
斗鱼电影18,http://epg.112114.xyz/douyu/7314294
斗鱼电影19,http://epg.112114.xyz/douyu/6582435
斗鱼电影20,http://epg.112114.xyz/douyu/323876
斗鱼4K,http://epg.112114.xyz/douyu/9249162
斗鱼电影HD1,http://epg.112114.xyz/douyu/20415
斗鱼电影HD2,http://epg.112114.xyz/douyu/10240553
斗鱼电影HD3,http://epg.112114.xyz/douyu/122402
斗鱼电影HD4,http://epg.112114.xyz/douyu/85894
斗鱼电影HD5,http://epg.112114.xyz/douyu/263824
斗鱼电影HD6,http://epg.112114.xyz/douyu/747764
斗鱼电影HD7,http://epg.112114.xyz/douyu/20415
斗鱼电影HD8,http://epg.112114.xyz/douyu/8663752
斗鱼电影HD9,http://epg.112114.xyz/douyu/323876
斗鱼电影HD10,http://epg.112114.xyz/douyu/6140589
斗鱼电影HD11,http://epg.112114.xyz/douyu/8770422
斗鱼电影HD12,http://epg.112114.xyz/douyu/2436390
斗鱼电影HD13,http://epg.112114.xyz/douyu/218859
斗鱼电影HD14,http://epg.112114.xyz/douyu/36337
斗鱼电影HD15,http://epg.112114.xyz/douyu/413573
斗鱼电影HD16,http://epg.112114.xyz/douyu/1504768
斗鱼电影HD19,http://epg.112114.xyz/douyu/3637765rrt97
斗鱼电影HD20,http://epg.112114.xyz/douyu/10395991
斗鱼电影HD21,http://epg.112114.xyz/douyu/10395986
斗鱼电影HD23,http://epg.112114.xyz/douyu/ 6079455
斗鱼电影HD24,http://epg.112114.xyz/douyu/315131
斗鱼电影HD25,http://epg.112114.xyz/douyu/8945323
斗鱼电影HD27,http://epg.112114.xyz/douyu/248753
斗鱼电影HD29,http://epg.112114.xyz/douyu/9651304
斗鱼电影HD30,http://epg.112114.xyz/douyu/9650887
斗鱼电影HD32,http://epg.112114.xyz/douyu/10240510
斗鱼电影HD33,http://epg.112114.xyz/douyu/52787
斗鱼电影HD34,http://epg.112114.xyz/douyu/8985415
斗鱼电影HD35,http://epg.112114.xyz/douyu/1165374
斗鱼电影HD36,http://epg.112114.xyz/douyu/1735337
斗鱼电影HD37,http://epg.112114.xyz/douyu/6537888
斗鱼电影HD38,http://epg.112114.xyz/douyu/6003761
斗鱼电影HD39,http://epg.112114.xyz/douyu/9683979
斗鱼电影HD40,http://epg.112114.xyz/douyu/1226741
斗鱼电影HD41,http://epg.112114.xyz/douyu/59612
斗鱼电影HD42,http://epg.112114.xyz/douyu/925724
斗鱼搞笑HD1,http://epg.112114.xyz/douyu/9220456
斗鱼搞笑HD2,http://epg.112114.xyz/douyu/9770949
斗鱼搞笑HD3,http://epg.112114.xyz/douyu/9067836
斗鱼搞笑HD4,http://epg.112114.xyz/douyu/9817729
斗鱼搞笑HD5,http://epg.112114.xyz/douyu/8737695
	
斗鱼电影1,http://tc-tct.douyucdn2.cn/dyliveflv1a/3637778raLSXdOdu.flv?wsAuth=1ea1a300d226ec1067c82df37a1e6ef5&token=cpn-androidmpro-0-3637778-8c089871434b93445163ba4dfd3714568979c1778d2e14df&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play
斗鱼电影7,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K.flv?wsAuth=5098901b40bc7b87b4eed18509f89245&token=cpn-androidmpro-0-20415-b6774b3b3249db178d68e54e4be54bf1ca391679b3fb2ffa&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
斗鱼电影8,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=b441d03c2310a1e3cd6b3dcb48a2f9af&token=cpn-androidmpro-0-85894-a3575d938a4aa3093e01c22a7da85938354a7f4d76d4f5ee&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
斗鱼电影21,http://epg.112114.xyz/douyu/36337
斗鱼电影58,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
	
斗鱼李子柒,http://epg.112114.xyz/douyu/2901080
	
房车之家,http://epg.112114.xyz/douyu/9613554
爱旅行的巧克力,http://epg.112114.xyz/douyu/9653323
大自然纪录片,http://epg.112114.xyz/douyu/4837387
斗鱼-民间故事,http://epg.112114.xyz/douyu/9682807
斗鱼-339小姐姐,http://epg.112114.xyz/douyu/1274132
	
斗鱼-荒野建造,http://epg.112114.xyz/douyu/9611578
斗鱼-野外生存,http://epg.112114.xyz/douyu/3968984
贝爷野外求生,http://epg.112114.xyz/douyu/6879442
荒野求生,http://epg.112114.xyz/douyu/9252708
【RM-点播】,http://epg.112114.xyz/douyu/131977
【RM-轮播】,http://epg.112114.xyz/douyu/7298973
	
	
🐯虎牙视频,#genre#




.阿斗归来了,https://epg.112114.xyz/huya/13303478
.小川看电影,https://epg.112114.xyz/huya/15870999
.鱼丸说电影,https://epg.112114.xyz/huya/16615910
.扁豆看电影1,https://epg.112114.xyz/huya/bdcmovie
.扁豆看电影2,https://epg.112114.xyz/huya/21059623
.亮哥说电影,https://epg.112114.xyz/huya/16144175
.亮哥说电影2,https://epg.112114.xyz/huya/21059622
.止戈电影,https://epg.112114.xyz/huya/19863777


.焦梦聆听,https://epg.112114.xyz/huya/16802752
.音乐小石榴,https://epg.112114.xyz/huya/17091681
.放松音乐•,https://epg.112114.xyz/huya/21241811
.放松音乐,https://epg.112114.xyz/huya/21241813
.惊艳翻唱,https://epg.112114.xyz/huya/21241815
.必听民谣经典,https://epg.112114.xyz/huya/21241831
.EDM ◆音乐,https://epg.112114.xyz/huya/21241838
.阿兰ALAN,https://epg.112114.xyz/huya/22970983
.粤语专享,https://epg.112114.xyz/huya/27626480
.安静听歌吖,https://epg.112114.xyz/huya/27729374
.涵哥评电影,https://epg.112114.xyz/huya/neihan
.电影最TOP,https://epg.112114.xyz/huya/topfilm

周星驰[1],https://epg.112114.xyz/huya/11342412
欧美娱乐[6],https://epg.112114.xyz/huya/21059574
沈腾[9],https://epg.112114.xyz/huya/11601968
科幻五分钟[10],https://epg.112114.xyz/huya/15152155
新三国[11],https://epg.112114.xyz/huya/11352944
金庸经典剧[12],https://epg.112114.xyz/huya/11602082
极限挑战[14],https://epg.112114.xyz/huya/11352914
成龙[20],https://epg.112114.xyz/huya/11342386
电影[24],https://epg.112114.xyz/huya/618917
倚天屠龙记[25],https://epg.112114.xyz/huya/11342403
让子弹飞[28],https://epg.112114.xyz/huya/11259843
甄子丹[31],https://epg.112114.xyz/huya/11352935
家有儿女[32],https://epg.112114.xyz/huya/11352872
路飞[34],https://epg.112114.xyz/huya/16913382
雍正王朝[36],https://epg.112114.xyz/huya/11342439
神探狄仁杰[39],https://epg.112114.xyz/huya/11352958
恐怖电影找力哥[41],https://epg.112114.xyz/huya/23419131
秀cai遇着兵[42],https://epg.112114.xyz/huya/11352871
新水浒[44],https://epg.112114.xyz/huya/11342384
龙门镖局[48],https://epg.112114.xyz/huya/11352874
刘德华[49],https://epg.112114.xyz/huya/11342424
官场大佬再创业[54],https://epg.112114.xyz/huya/11602086
网球王子[55],https://epg.112114.xyz/huya/11352882
康熙王朝[56],https://epg.112114.xyz/huya/11352940
康熙微服私访[58],https://epg.112114.xyz/huya/11342418
极品新娘[60],https://epg.112114.xyz/huya/11342426
三国演义[63],https://epg.112114.xyz/huya/11602081
止戈电影[64],https://epg.112114.xyz/huya/19863777
李连杰[65],https://epg.112114.xyz/huya/11342390
