

永刚音乐,#gengre#
大雪无情人有情,http://em.21dtv.com/songs/60014191.mkv
千里之外,http://em.21dtv.com/songs/60135849.mkv
你的眉毛在笑,http://em.21dtv.com/songs/60170145.mkv
带一枚月亮回家,http://em.21dtv.com/songs/60014286.mkv



暴林#genre#
等待,http://em.21dtv.com/songs/60154454.mkv
伤别离,http://em.21dtv.com/songs/60119623.mkv
怎么能够无所谓,http://em.21dtv.com/songs/60113572.mkv
下定决心忘记你,http://em.21dtv.com/songs/60067614.mkv
无缘的情人,http://em.21dtv.com/songs/60135326.mkv
男人的无奈,http://em.21dtv.com/songs/60067259.mkv
迷失的女人,http://em.21dtv.com/songs/60062230.mkv
随风飞,http://em.21dtv.com/songs/60040924.mkv
跟我一起摇摆,http://em.21dtv.com/songs/60137676.mkv
爱情已走远,http://em.21dtv.com/songs/60137675.mkv
一辈子守护你身旁,http://em.21dtv.com/songs/60114573.mkv
穷二代心声,http://em.21dtv.com/songs/60083679.mkv
你为谁隐身,http://em.21dtv.com/songs/60105945.mkv
风雨同路人,http://em.21dtv.com/songs/60122798.mkv
再唱小三,http://em.21dtv.com/songs/60070207.mkv
一错再错,http://em.21dtv.com/songs/60068910.mkv
爱的太深,http://em.21dtv.com/songs/60087949.mkv
意冷心灰,http://em.21dtv.com/songs/60162843.mkv
伤情,http://em.21dtv.com/songs/60155016.mkv
脚踏两只船,http://em.21dtv.com/songs/60138790.mkv
你怎么狠心离开我,http://em.21dtv.com/songs/60032486.mkv
为爱留下伤心累,http://em.21dtv.com/songs/60129186.mkv
放弃不再爱的人,http://em.21dtv.com/songs/60129186.mkv
唱首情歌送给你,http://em.21dtv.com/songs/60105113.mkv
别把爱情当游戏,http://em.21dtv.com/songs/60074680.mkv
最伤感的情歌,http://em.21dtv.com/songs/60105114.mkv
亲爱的不要走,http://em.21dtv.com/songs/60071053.mkv
心都给你了,http://em.21dtv.com/songs/60050222.mkv
痴之是我犯的错,http://em.21dtv.com/songs/60143501.mkv
如果一切可以重来,http://em.21dtv.com/songs/60152837.mkv
痴心是我犯的错,http://em.21dtv.com/songs/60143501.mkv
放弃世界放不下你,http://em.21dtv.com/songs/60135325.mkv
好兄弟真情义,http://em.21dtv.com/songs/60135325.mkv
做你最爱的人,http://em.21dtv.com/songs/60169236.mkv
红尘痴笑一场梦,http://em.21dtv.com/songs/60148804.mkv


龙卷风暴,http://em.21dtv.com/songs/60144410.mkv
鲍勃#genre#
布达拉宫,http://em.21dtv.com/songs/60129824.mkv
油田大庆等你来,http://em.21dtv.com/songs/60146885.mkv
记忆,http://em.21dtv.com/songs/60066049.mkv
满江红,http://em.21dtv.com/songs/60085413.mkv
钗头凤,http://em.21dtv.com/songs/60080896.mkv
孩子,http://em.21dtv.com/songs/60134481.mkv
蝴蝶,http://em.21dtv.com/songs/60101007.mkv
美丽中国,http://em.21dtv.com/songs/60102953.mkv
清明上河图,http://em.21dtv.com/songs/60064736.mkv
幸福生活,http://em.21dtv.com/songs/60051365.mkv
男人底线,http://em.21dtv.com/songs/60030978.mkv
向前方,http://em.21dtv.com/songs/60071322.mkv
出界,http://em.21dtv.com/songs/60012924.mkv
北漂,http://em.21dtv.com/songs/60110718.mkv
飞机场的10:30,http://em.21dtv.com/songs/60103064.mkv
葡萄成熟时,http://em.21dtv.com/songs/60033701.mkv
故乡的路,http://em.21dtv.com/songs/60102951.mkv
中华大家园,http://em.21dtv.com/songs/60058944.mkv
朋友的圈,http://em.21dtv.com/songs/60134482.mkv
红豆相思,http://em.21dtv.com/songs/60020830.mkv
黑色花心,http://em.21dtv.com/songs/60075737.mkv
妹妹我爱你,http://em.21dtv.com/songs/60064535.mkv
爱到忘自己,http://em.21dtv.com/songs/60102952.mkv

陈玉建#genre#
小花,http://em.21dtv.com/songs/60049590.mkv
赌注,http://em.21dtv.com/songs/60146811.mkv
火辣辣,http://em.21dtv.com/songs/60066046.mkv
分手,http://em.21dtv.com/songs/60107332.mkv
说说爱情,http://em.21dtv.com/songs/60099582.mkv
草原姑娘,http://em.21dtv.com/songs/60103690.mkv
有点懵,http://em.21dtv.com/songs/60122240.mkv
网缘,http://em.21dtv.com/songs/60043396.mkv
情泪,http://em.21dtv.com/songs/60098882.mkv
完美人生,http://em.21dtv.com/songs/60167573.mkv
等她,http://em.21dtv.com/songs/60151734.mkv
为什么伤害我,http://em.21dtv.com/songs/60044086.mkv
左手握右手,http://em.21dtv.com/songs/60127562.mkv
含泪做朋友,http://em.21dtv.com/songs/60075659.mkv
丢弃的玫瑰,http://em.21dtv.com/songs/60075209.mkv
为你停留,http://em.21dtv.com/songs/60062296.mkv
忘了伤痛,http://em.21dtv.com/songs/60120091.mkv
偷偷的哭,http://em.21dtv.com/songs/60042843.mkv
生意兴隆,http://em.21dtv.com/songs/60103691.mkv
红颜你我,http://em.21dtv.com/songs/60075791.mkv
后海酒巴,http://em.21dtv.com/songs/60150231.mkv
我陪你,http://em.21dtv.com/songs/60149153.mkv
好兄弟,http://em.21dtv.com/songs/60137083.mkv
忘了伤悲,http://em.21dtv.com/songs/60111489.mkv
相爱彼此在心里,http://em.21dtv.com/songs/60120092.mkv
爱上离婚的女人,http://em.21dtv.com/songs/60008649.mkv
你幸福我快乐,http://em.21dtv.com/songs/60032375.mkv
放弃后悔的心疼,http://em.21dtv.com/songs/60065957.mkv
爱上负心的人,http://em.21dtv.com/songs/60008640.mkv
永远爱你的,http://em.21dtv.com/songs/60118165.mkv
我的小女人,http://em.21dtv.com/songs/60113066.mkv
男人就是累,http://em.21dtv.com/songs/60030985.mkv
爱情断了线,http://em.21dtv.com/songs/60008210.mkv
你爱了吗,http://em.21dtv.com/songs/60031388.mkv
大哥小弟,http://em.21dtv.com/songs/60066941.mkv
白头偕老,http://em.21dtv.com/songs/60069237.mkv
亲爱的,http://em.21dtv.com/songs/60094083.mkv
出门在外老婆交代,http://em.21dtv.com/songs/60167457.mkv
恋曲2012,http://em.21dtv.com/songs/60027117.mkv
微信爱,http://em.21dtv.com/songs/60067519.mkv
爱一个人女累,http://em.21dtv.com/songs/60008727.mkv
听情歌忘了她,http://em.21dtv.com/songs/60062295.mkv
水是冰的眼泪,http://em.21dtv.com/songs/60040222.mkv
离开你我哭了,http://em.21dtv.com/songs/60026749.mkv
就让我寂寞吧,http://em.21dtv.com/songs/60083194.mkv
不想一个人睡,http://em.21dtv.com/songs/60134410.mkv
有钱就爱你,http://em.21dtv.com/songs/60055260.mkv
情义好兄弟,http://em.21dtv.com/songs/60135931.mkv
把爱给了你,http://em.21dtv.com/songs/60009536.mkv
甜蜜爱情,http://em.21dtv.com/songs/60108982.mkv
我爱你,http://em.21dtv.com/songs/60094746.mkv
把爱丢了怎么走,http://em.21dtv.com/songs/60157956.mkv
你是我的女人,http://em.21dtv.com/songs/60154396.mkv
小三偷偷的哭,http://em.21dtv.com/songs/60049723.mkv
没你我和别人睡,http://em.21dtv.com/songs/60076580.mkv
别把我的心带走,http://em.21dtv.com/songs/60074681.mkv
忘了伤忘了疼,http://em.21dtv.com/songs/60083959.mkv
你爱了吗【舞曲版】,http://em.21dtv.com/songs/60031387.mkv
丢了爱情丢了你,http://em.21dtv.com/songs/60151733.mkv
天涯歌女,http://em.21dtv.com/songs/60137010.mkv
让我一生爱着你,http://em.21dtv.com/songs/60120093.mkv
月亮下面说出我爱你,http://em.21dtv.com/songs/60113215.mkv
成长的烦恼,http://em.21dtv.com/songs/60130839.mkv
我被爱情撞了一下腰,http://em.21dtv.com/songs/60138211.mkv
陈岩#genre#
红尘恋典,http://em.21dtv.com/songs/60097260.mkv
相爱一瞬间,http://em.21dtv.com/songs/60152173.mkv
山岩恋歌,http://em.21dtv.com/songs/60095111.mkv
不变的誓言,http://em.21dtv.com/songs/60074718.mkv
永远陪你唱情歌,http://em.21dtv.com/songs/60123296.mkv
打工族,http://em.21dtv.com/songs/60013772.mkv
陈雅生#genre#
高梁红,http://em.21dtv.com/songs/60109710.mkv
老哥老弟,http://em.21dtv.com/songs/60121099.mkv
幸福的两个人,http://em.21dtv.com/songs/60067672.mkv
天梦,http://em.21dtv.com/songs/60156680.mkv
咏浪,http://em.21dtv.com/songs/60154092.mkv
我的快乐就是想你,http://em.21dtv.com/songs/60118172.mkv
下雨我没有带伞,http://em.21dtv.com/songs/60133056.mkv
等不起的爱,http://em.21dtv.com/songs/60131964.mkv
问天问地问自己,http://em.21dtv.com/songs/60083998.mkv
如果我们老了,http://em.21dtv.com/songs/60145768.mkv
放开你不是我的错,http://em.21dtv.com/songs/60120101.mkv
亲爱的你听见了吗,http://em.21dtv.com/songs/60102905.mkv
我的快乐就是想你,http://em.21dtv.com/songs/60147894.mkv
做你的爱人,http://em.21dtv.com/songs/60162465.mkv


崔健#genre#
一无所有,http://em.21dtv.com/songs/60116756.mkv
苦行僧,http://em.21dtv.com/songs/60102166.mkv


陈洪#genre#
毕业说再见,http://em.21dtv.com/songs/60144127.mkv
爱你心不悔,http://em.21dtv.com/songs/60144128.mkv
群主么么哒,http://em.21dtv.com/songs/60123311.mkv
梁祝【陈水林】,http://em.21dtv.com/songs/60083300.mkv
流浪的思念【陈海立】,http://em.21dtv.com/songs/60144129.mkv
像海一样蓝【陈瑞】,http://em.21dtv.com/songs/60097687.mkv
连锁反应【陈慧娴】,http://em.21dtv.com/songs/60076406.mkv
人生何处不相逢【陈慧娴】,http://em.21dtv.com/songs/60036413.mkv
曹越#genre#
兄弟一起闯,http://em.21dtv.com/songs/60111945.mkv
老板情歌,http://em.21dtv.com/songs/60101093.mkv
金莲的爱,http://em.21dtv.com/songs/60126963.mkv
小三泪,http://em.21dtv.com/songs/60061759.mkv
我的老情人,http://em.21dtv.com/songs/60121737.mkv
挣点小钱,http://em.21dtv.com/songs/60094911.mkv
曾经最爱的姑娘,http://em.21dtv.com/songs/60105117.mkv
若有缘再相见,http://em.21dtv.com/songs/60105946.mkv
为你着了迷,http://em.21dtv.com/songs/60078091.mkv
我就是炮哥,http://em.21dtv.com/songs/60111946.mkv
我的爱很累,http://em.21dtv.com/songs/60109403.mkv
财神驾到,http://em.21dtv.com/songs/60108547.mkv
这辈子注定在一起,http://em.21dtv.com/songs/60165414.mkv
反正你已经不爱我,http://em.21dtv.com/songs/60115206.mkv
不能忘不能爱,http://em.21dtv.com/songs/60119625.mkv
缘分来了就是你,http://em.21dtv.com/songs/60127171.mkv
红尘有你不寂寞,http://em.21dtv.com/songs/60114967.mkv
你的眼角流着我的泪,http://em.21dtv.com/songs/60113579.mkv
借点情借点爱,http://em.21dtv.com/songs/60083164.mkv
敢不敢跟我告个白,http://em.21dtv.com/songs/60167856.mkv
桃花坞【瑜越越】,http://em.21dtv.com/songs/60168312.mkv
情歌越唱越心酸,http://em.21dtv.com/songs/60150615.mkv


潘长江#genre#
光腚娃娃,http://em.21dtv.com/songs/60019274.mkv
灯火,http://em.21dtv.com/songs/60019274.mkv
男人四十一枝花,http://em.21dtv.com/songs/60090075.mkv
爷爷奶奶和我们,http://em.21dtv.com/songs/60052418.mkv
两个对我恩重如山的人,http://em.21dtv.com/songs/60091668.mkv
咱农民的胸怀比天地宽,http://em.21dtv.com/songs/60057252.mkv
过河,http://em.21dtv.com/songs/60019477.mkv
开学,http://em.21dtv.com/songs/60090348.mkv
别拿豆包不当干粮,http://em.21dtv.com/songs/60094213.mkv
山妹子,http://em.21dtv.com/songs/60037661.mkv
工地情歌,http://em.21dtv.com/songs/60090070.mkv
手术之前,http://em.21dtv.com/songs/60090069.mkv
迎亲,http://em.21dtv.com/songs/60090071.mkv
请你参加,http://em.21dtv.com/songs/60090067.mkv
万家灯火【潘阳】,http://em.21dtv.com/songs/60102504.mkv
大道理【潘阳】,http://em.21dtv.com/songs/60013882.mkv
孙小宝#genre#
美观,http://em.21dtv.com/songs/60029117.mkv
见面发财,http://em.21dtv.com/songs/60090892.mkv
情系二人转,http://em.21dtv.com/songs/60090890.mkv
老家拉拉屯,http://em.21dtv.com/songs/60090891.mkv
哥哥妹妹【胡小宝+门丽】,http://em.21dtv.com/songs/60061209.mkv
小英雄哪吒,http://em.21dtv.com/songs/60097487.mkv
宋小宝看透爱情看透你,http://em.21dtv.com/songs/60066095.mkv

赵本山#genre#
我心中的太阳,http://em.21dtv.com/songs/60046468.mkv
开车不喝酒,http://em.21dtv.com/songs/60024981.mkv
咱们屯里的人,http://em.21dtv.com/songs/60057250.mkv
生活就这么怪,http://em.21dtv.com/songs/60038536.mkv
念诗大王,http://em.21dtv.com/songs/60167663.mkv
一个情字活一生,http://em.21dtv.com/songs/60052973.mkv
我的师傅赵本山【博比肯】,http://em.21dtv.com/songs/60045211.mkv


相亲【小品】,http://em.21dtv.com/songs/60090349.mkv
演员的烦恼【小品】,http://em.21dtv.com/songs/60087861.mkv
牛大叔提干【小品】,http://em.21dtv.com/songs/60090184.mkv
昨天今天明天【小品】,http://em.21dtv.com/songs/60089810.mkv
就恋这把土【赵本水】,http://em.21dtv.com/songs/60064418.mkv
妹妹听我说【赵本水】,http://em.21dtv.com/songs/60029378.mkv
找个好男人【赵本水】,http://em.21dtv.com/songs/60057675.mkv
朋友你好吗【赵本水】,http://em.21dtv.com/songs/60064687.mkv
致敬赵本山【赵本水】,http://em.21dtv.com/songs/60058837.mkv
精忠报国【赵本水】,http://em.21dtv.com/songs/60076157.mkv
水泊梁山【赵本水】,http://em.21dtv.com/songs/60088698.mkv
自强不息【赵本水】,http://em.21dtv.com/songs/60065512.mkv
大王叫我来巡山【赵英俊】,http://em.21dtv.com/songs/60117261.mkv
冯巩#genre#
坐享其成【牛群】,http://em.21dtv.com/songs/60089657.mkv
拍卖【牛群】,http://em.21dtv.com/songs/60089659.mkv
小偷公司【牛群】,http://em.21dtv.com/songs/60089658.mkv
点子公司【牛群】,http://em.21dtv.com/songs/60089661.mkv
办晚会【牛群】,http://em.21dtv.com/songs/60089656.mkv
融【王兰】,http://em.21dtv.com/songs/60089662.mkv
两个弄潮【牛群】,http://em.21dtv.com/songs/60089655.mkv
最差先生【牛群】,http://em.21dtv.com/songs/60089660.mkv
我的儿子【牛群】,http://em.21dtv.com/songs/60090076.mkv
无蝇餐厅【李丁】,http://em.21dtv.com/songs/60089653.mkv
五观争功【群口】,http://em.21dtv.com/songs/60089664.mkv
家中有贼【陶红】,http://em.21dtv.com/songs/60089663.mkv
面的与黄冠【牛振华】,http://em.21dtv.com/songs/60089654.mkv
牧羊姑娘【冯海龙】,http://em.21dtv.com/songs/60131195.mkv
打工奇遇【巩汉林】,http://em.21dtv.com/songs/60089835.mkv
造才公司【巩汉林】,http://em.21dtv.com/songs/60089829.mkv
如此包装【巩汉林】,http://em.21dtv.com/songs/60089832.mkv
求求你【巩汉林】,http://em.21dtv.com/songs/60090068.mkv
功夫令【巩汉林】,http://em.21dtv.com/songs/60089834.mkv
跟踪情侣【巩汉林】,http://em.21dtv.com/songs/60089830.mkv
如此游客【巩汉林】,http://em.21dtv.com/songs/60089831.mkv
鞋钉【巩汉林黄宏】,http://em.21dtv.com/songs/60089839.mkv
妈妈的今天【巩汉林】,http://em.21dtv.com/songs/60089833.mkv
老将出马【巩汉林金珠】,http://em.21dtv.com/songs/60089836.mkv
格格#genre#
火苗,http://em.21dtv.com/songs/60022447.mkv
大中国,http://em.21dtv.com/songs/60154469.mkv
成吉思汗舞曲,http://em.21dtv.com/songs/60130493.mkv

嫣然一笑,http://em.21dtv.com/songs/60071398.mkv
赞歌,http://em.21dtv.com/songs/60062386.mkv
小情歌,http://em.21dtv.com/songs/60062384.mkv
追梦人,http://em.21dtv.com/songs/60062387.mkv
热情的沙漠,http://em.21dtv.com/songs/60157478.mkv
人在旅途,http://em.21dtv.com/songs/60150812.mkv
我是草原姑娘,http://em.21dtv.com/songs/60133888.mkv
跟我约会吧,http://em.21dtv.com/songs/60112805.mkv
赶路的月光,http://em.21dtv.com/songs/60017911.mkv
新鸳鸯蝴蝶梦,http://em.21dtv.com/songs/60154470.mkv
姑娘【曹格】,http://em.21dtv.com/songs/60018935.mkv

郭兰英#genre#
南泥湾,http://em.21dtv.com/songs/60031127.mkv
绣荷包,http://em.21dtv.com/songs/60051523.mkv
我的祖国,http://em.21dtv.com/songs/60045364.mkv
绣金编,http://em.21dtv.com/songs/60051532.mkv
清粼粼的水蓝莹莹的天,http://em.21dtv.com/songs/60034885.mkv
歌唱敬爱的周总理,http://em.21dtv.com/songs/60167887.mkv
毛主席来到咱农庄,http://em.21dtv.com/songs/60028681.mkv

韩宝仪#genre#
痴情小妹,http://em.21dtv.com/songs/60012770.mkv
舞女,http://em.21dtv.com/songs/60047793.mkv
舞女泪,http://em.21dtv.com/songs/60047799.mkv
摊牌,http://em.21dtv.com/songs/60041427.mkv
后悔,http://em.21dtv.com/songs/60021078.mkv
情人桥,https://vd4.bdstatic.com/mda-jehka6exkt6va8id/sc/mda-jehka6exkt6va8id.mp4
高山青,http://em.21dtv.com/songs/60018221.mkv
背新娘,http://em.21dtv.com/songs/60010261.mkv
追梦,http://em.21dtv.com/songs/60059516.mkv
喝采,http://em.21dtv.com/songs/60020286.mkv
无聊的游戏,https://vd2.bdstatic.com/mda-nb8j3b6sz77bdvk8/sc/cae_h264_delogo/1644413904258506067/mda-nb8j3b6sz77bdvk8.mp4
粉红色的回忆,http://em.21dtv.com/songs/60017165.mkv
往事只能回味,http://em.21dtv.com/songs/60043463.mkv
掌声响起来,http://em.21dtv.com/songs/60089540.mkv
知道不知道,http://em.21dtv.com/songs/60089540.mkv
何日君再来,http://em.21dtv.com/songs/60020378.mkv
酒醉的探戈,http://em.21dtv.com/songs/60024483.mkv
夕阳山外山,http://em.21dtv.com/songs/60047868.mkv
我心若玫瑰,http://em.21dtv.com/songs/60046450.mkv
你潇洒我漂亮,http://em.21dtv.com/songs/60032370.mkv
让我悄悄的离去,http://em.21dtv.com/songs/60036167.mkv
难忘初恋的情人,http://em.21dtv.com/songs/60031239.mkv
叹十声,http://em.21dtv.com/songs/60041470.mkv
痴情的爱,http://em.21dtv.com/songs/60012691.mkv
错误的爱,http://em.21dtv.com/songs/60013695.mkv
又是细雨,http://em.21dtv.com/songs/60055463.mkv
钱来去勿勿,http://em.21dtv.com/songs/60034316.mkv
无聊的游戏,http://em.21dtv.com/songs/60047215.mkv
无奈的思绪,http://em.21dtv.com/songs/60047268.mkv
说声对不起,http://em.21dtv.com/songs/60040417.mkv
明月千里寄相思,http://em.21dtv.com/songs/60030138.mkv
爱你一万年,http://em.21dtv.com/songs/60008023.mkv
一曲相思唱不完,http://em.21dtv.com/songs/60145795.mkv
杨玉莹#genre#
桃花运,http://em.21dtv.com/songs/60041602.mkv
南国佳人,http://em.21dtv.com/songs/60031101.mkv
红彤彤的春天,http://vodcdn.video.taobao.com/oss/ali-video/31fcc5242ffc9a00a5a62d89b21c0bea/video.m3u8
轻轻的告诉你,http://vodcdn.video.taobao.com/oss/ali-video/1905c60363f40cea52f342ec59132da0/video.m3u8
甜甜小妹,http://em.21dtv.com/songs/60042409.mkv
妈妈的吻,http://em.21dtv.com/songs/60028238.mkv
黄金一笑,http://em.21dtv.com/songs/60021975.mkv
小情歌,http://em.21dtv.com/songs/60078706.mkv
武则天,http://em.21dtv.com/songs/60047755.mkv
梦中花,http://em.21dtv.com/songs/60029793.mkv
我不相说,http://vodcdn.video.taobao.com/oss/ali-video/cc97a07de2cac88c025590ef874253fc/video.m3u8
心雨,http://vodcdn.video.taobao.com/oss/ali-video/0191a1eb6017684a3641a51d32c9633a/video.m3u8
盼望天天见到你,http://em.21dtv.com/songs/60033168.mkv
剪纸花的女孩,http://em.21dtv.com/songs/60023241.mkv
情意两蒙胧,http://em.21dtv.com/songs/60088083.mkv
林中小路,http://em.21dtv.com/songs/60080545.mkv
等你一万年,http://vodcdn.video.taobao.com/oss/ali-video/e1e0b88e5c6d40d7176f353d41aac985/video.m3u8
晚霸中的红蜻蜓,http://em.21dtv.com/songs/60043251.mkv
悄悄的把你藏心底,http://em.21dtv.com/songs/60091416.mkv
洪湖水浪打浪,http://em.21dtv.com/songs/60021058.mkv
茶山情歌,http://em.21dtv.com/songs/60122893.mkv
苗苗#genre#
喜出望外,http://em.21dtv.com/songs/60096453.mkv
镜花水月,http://em.21dtv.com/songs/60096477.mkv
鸿雁,http://em.21dtv.com/songs/60096479.mkv
凤凰,http://em.21dtv.com/songs/60096450.mkv
四季歌,http://em.21dtv.com/songs/60081129.mkv
抛秀球,http://em.21dtv.com/songs/60096463.mkv
美人吟,http://em.21dtv.com/songs/60096474.mkv
辣妹子,http://em.21dtv.com/songs/60081127.mkv
兵哥哥,http://em.21dtv.com/songs/60084915.mkv
婚誓,http://em.21dtv.com/songs/60096458.mkv
风含情水含笑,http://em.21dtv.com/songs/60096478.mkv

兰花花【崔苗】,http://em.21dtv.com/songs/60123870.mkv



蔡琴#genre#
出人头地,http://em.21dtv.com/songs/60012953.mkv
白桦林【蔡琴】,http://em.21dtv.com/songs/60112217.mkv
南平晚钟,http://em.21dtv.com/songs/60088604.mkv
甜蜜蜜,http://em.21dtv.com/songs/60042380.mkv
女儿圈,http://em.21dtv.com/songs/60032846.mkv
夜来香,http://em.21dtv.com/songs/60052598.mkv
敖包相会,http://em.21dtv.com/songs/60009419.mkv
乡间小唱,http://em.21dtv.com/songs/60126149.mkv
大约在冬季,http://em.21dtv.com/songs/60014221.mkv
刀郎#genre#
驼铃,http://em.21dtv.com/songs/60043027.mkv
映山红,http://em.21dtv.com/songs/60070172.mkv
送别,http://em.21dtv.com/songs/60040730.mkv
情人,http://em.21dtv.com/songs/60035168.mkv
绣红旗,http://em.21dtv.com/songs/60070102.mkv
大眼睛,http://em.21dtv.com/songs/60014194.mkv
沙枣花香,http://em.21dtv.com/songs/60037482.mkv
九九艳阳天,http://em.21dtv.com/songs/60083186.mkv
冲动的惩罚,http://em.21dtv.com/songs/60012854.mkv
我的祖国,http://em.21dtv.com/songs/60069949.mkv
十送红军,http://em.21dtv.com/songs/60067427.mkv
虹彩妹妹,http://em.21dtv.com/songs/60021051.mkv
红星照我去战斗,http://em.21dtv.com/songs/60020990.mkv
在那遥远的地方,http://em.21dtv.com/songs/60070219.mkv
北方的天空下,http://em.21dtv.com/songs/60010161.mkv
打起手鼓唱起歌,http://em.21dtv.com/songs/60013813.mkv
爱是你我,http://em.21dtv.com/songs/60008783.mkv
2002年的第一场雪,http://em.21dtv.com/songs/60016343.mkv
邓丽君#genre#
甜蜜蜜,http://em.21dtv.com/songs/60042384.mkv
舞女,http://em.21dtv.com/songs/60047792.mkv
天涯歌女,http://em.21dtv.com/songs/60042240.mkv
海棠姑娘,http://em.21dtv.com/songs/60019812.mkv
恩爱夫妻,http://em.21dtv.com/songs/60102772.mkv
四季歌,http://em.21dtv.com/songs/60040683.mkv
高山青,http://em.21dtv.com/songs/60018219.mkv
采槟榔,http://em.21dtv.com/songs/60011900.mkv
回娘家,http://em.21dtv.com/songs/60066041.mkv
小媳妇儿回娘家,http://em.21dtv.com/songs/60049790.mkv
好预兆,http://em.21dtv.com/songs/60075700.mkv
